Språk,Wikipedia-sida,Extern länk,Wikipedia-länk,Domän,lang_code,lang_name,domain,wiki,year,legacy_dspace,status,error,elapsed,is_broken,failure_type
ace,Leonard Cohen,http://kulturnav.org/language/en/7e908441-ad8d-4291-9f31-8a6c83d89270,https://ace.wikipedia.org/wiki/Leonard_Cohen,kulturnav.org,ace,Acèh,kulturnav.org,,,False,404.0,,0.146233,True,hard_404
ace,Agnetha Fältskog,http://kulturnav.org/language/en/1718a400-a2bc-40c0-bae6-d0d8c441bb8f,https://ace.wikipedia.org/wiki/Agnetha_Fältskog,kulturnav.org,ace,Acèh,kulturnav.org,,,False,404.0,,0.175872,True,hard_404
ace,Anni-Frid Lyngstad,http://kulturnav.org/language/en/a75e48ae-e70f-4f5c-80f0-bd7fe18e5bab,https://ace.wikipedia.org/wiki/Anni-Frid_Lyngstad,kulturnav.org,ace,Acèh,kulturnav.org,,,False,404.0,,0.167199,True,hard_404
af,Adils,http://www.raa.se/cms/extern/se_och_besoka/sevardheter/ottarshogen.html,https://af.wikipedia.org/wiki/Adils,raa.se,af,Afrikaans,www.raa.se,,,False,404.0,,0.212013,True,hard_404
an,Giovanni Pico della Mirandola,https://kulturarvsdata.se/LSH/agents/46681,https://an.wikipedia.org/wiki/Giovanni_Pico_della_Mirandola,kulturarvsdata.se,an,aragonés,kulturarvsdata.se,,,False,404.0,,0.052075,True,hard_404
an,Blaise Pascal,https://kulturarvsdata.se/LSH/agents/50439,https://an.wikipedia.org/wiki/Blaise_Pascal,kulturarvsdata.se,an,aragonés,kulturarvsdata.se,,,False,404.0,,0.054659,True,hard_404
an,Antoine van Leeuwenhoek,https://kulturarvsdata.se/LSH/agents/58347,https://an.wikipedia.org/wiki/Antoine_van_Leeuwenhoek,kulturarvsdata.se,an,aragonés,kulturarvsdata.se,,,False,404.0,,0.069665,True,hard_404
an,Montesquieu,https://kulturarvsdata.se/LSH/agents/59801,https://an.wikipedia.org/wiki/Montesquieu,kulturarvsdata.se,an,aragonés,kulturarvsdata.se,,,False,404.0,,0.053473,True,hard_404
an,Eric Voegelin,https://kulturarvsdata.se/LSH/agents/64610,https://an.wikipedia.org/wiki/Eric_Voegelin,kulturarvsdata.se,an,aragonés,kulturarvsdata.se,,,False,404.0,,0.05129,True,hard_404
an,Herodoto,https://kulturarvsdata.se/LSH/agents/48782,https://an.wikipedia.org/wiki/Herodoto,kulturarvsdata.se,an,aragonés,kulturarvsdata.se,,,False,404.0,,0.05512,True,hard_404
an,Homero,https://kulturarvsdata.se/LSH/agents/54238,https://an.wikipedia.org/wiki/Homero,kulturarvsdata.se,an,aragonés,kulturarvsdata.se,,,False,404.0,,0.051491,True,hard_404
an,Sant Tomás d'Aquino,https://kulturarvsdata.se/LSH/agents/64185,https://an.wikipedia.org/wiki/Sant_Tomás_d'Aquino,kulturarvsdata.se,an,aragonés,kulturarvsdata.se,,,False,404.0,,0.055423,True,hard_404
an,Virchilio,https://kulturarvsdata.se/LSH/agents/62759,https://an.wikipedia.org/wiki/Virchilio,kulturarvsdata.se,an,aragonés,kulturarvsdata.se,,,False,404.0,,0.063191,True,hard_404
an,Socrates,https://kulturarvsdata.se/LSH/agents/64698,https://an.wikipedia.org/wiki/Socrates,kulturarvsdata.se,an,aragonés,kulturarvsdata.se,,,False,404.0,,0.062754,True,hard_404
an,Sant Agostín d'Hipona,https://kulturarvsdata.se/LSH/agents/49853,https://an.wikipedia.org/wiki/Sant_Agostín_d'Hipona,kulturarvsdata.se,an,aragonés,kulturarvsdata.se,,,False,404.0,,0.05781,True,hard_404
an,Museu d'o Louvre,https://kulturarvsdata.se/LSH/agents/35407,https://an.wikipedia.org/wiki/Museu_d'o_Louvre,kulturarvsdata.se,an,aragonés,kulturarvsdata.se,,,False,404.0,,0.058521,True,hard_404
an,Gian Giorgio Trissino,https://kulturarvsdata.se/LSH/agents/42353,https://an.wikipedia.org/wiki/Gian_Giorgio_Trissino,kulturarvsdata.se,an,aragonés,kulturarvsdata.se,,,False,404.0,,0.052464,True,hard_404
an,Daniel Defoe,https://kulturarvsdata.se/LSH/agents/7509,https://an.wikipedia.org/wiki/Daniel_Defoe,kulturarvsdata.se,an,aragonés,kulturarvsdata.se,,,False,404.0,,0.06961,True,hard_404
an,Molière,https://kulturarvsdata.se/LSH/agents/42704,https://an.wikipedia.org/wiki/Molière,kulturarvsdata.se,an,aragonés,kulturarvsdata.se,,,False,404.0,,0.057536,True,hard_404
an,Marco Aurelio,https://kulturarvsdata.se/LSH/agents/55627,https://an.wikipedia.org/wiki/Marco_Aurelio,kulturarvsdata.se,an,aragonés,kulturarvsdata.se,,,False,404.0,,0.055942,True,hard_404
an,Baltasar Gracián,https://kulturarvsdata.se/LSH/agents/58991,https://an.wikipedia.org/wiki/Baltasar_Gracián,kulturarvsdata.se,an,aragonés,kulturarvsdata.se,,,False,404.0,,0.056864,True,hard_404
an,René Descartes,https://kulturarvsdata.se/LSH/agents/41922,https://an.wikipedia.org/wiki/René_Descartes,kulturarvsdata.se,an,aragonés,kulturarvsdata.se,,1922,False,404.0,,0.06057,True,hard_404
an,Sofocles,https://kulturarvsdata.se/LSH/agents/63853,https://an.wikipedia.org/wiki/Sofocles,kulturarvsdata.se,an,aragonés,kulturarvsdata.se,,,False,404.0,,0.058254,True,hard_404
an,Euclides,https://kulturarvsdata.se/LSH/agents/48620,https://an.wikipedia.org/wiki/Euclides,kulturarvsdata.se,an,aragonés,kulturarvsdata.se,,,False,404.0,,0.060977,True,hard_404
an,Voltaire,https://kulturarvsdata.se/LSH/agents/47987,https://an.wikipedia.org/wiki/Voltaire,kulturarvsdata.se,an,aragonés,kulturarvsdata.se,,,False,404.0,,0.05617,True,hard_404
an,Niccolò Machiavelli,https://kulturarvsdata.se/LSH/agents/48638,https://an.wikipedia.org/wiki/Niccolò_Machiavelli,kulturarvsdata.se,an,aragonés,kulturarvsdata.se,,,False,404.0,,0.055628,True,hard_404
an,Gottfried Leibniz,https://kulturarvsdata.se/LSH/agents/44765,https://an.wikipedia.org/wiki/Gottfried_Leibniz,kulturarvsdata.se,an,aragonés,kulturarvsdata.se,,,False,404.0,,0.058857,True,hard_404
an,Jean-Jacques Rousseau,https://kulturarvsdata.se/LSH/agents/59539,https://an.wikipedia.org/wiki/Jean-Jacques_Rousseau,kulturarvsdata.se,an,aragonés,kulturarvsdata.se,,,False,404.0,,0.055836,True,hard_404
an,Frederico II d'o Sacro Imperio Romano Chermanico,https://kulturarvsdata.se/LSH/agents/53095,https://an.wikipedia.org/wiki/Frederico_II_d'o_Sacro_Imperio_Romano_Chermanico,kulturarvsdata.se,an,aragonés,kulturarvsdata.se,,,False,404.0,,0.057138,True,hard_404
an,Constantín VII,https://kulturarvsdata.se/LSH/agents/41366,https://an.wikipedia.org/wiki/Constantín_VII,kulturarvsdata.se,an,aragonés,kulturarvsdata.se,,,False,404.0,,0.057332,True,hard_404
an,León VI o Sabio,https://kulturarvsdata.se/LSH/agents/61755,https://an.wikipedia.org/wiki/León_VI_o_Sabio,kulturarvsdata.se,an,aragonés,kulturarvsdata.se,,,False,404.0,,0.056987,True,hard_404
an,Francisco de Quevedo,https://kulturarvsdata.se/LSH/agents/55801,https://an.wikipedia.org/wiki/Francisco_de_Quevedo,kulturarvsdata.se,an,aragonés,kulturarvsdata.se,,,False,404.0,,0.053942,True,hard_404
an,Pierre de Marivaux,https://kulturarvsdata.se/LSH/agents/56883,https://an.wikipedia.org/wiki/Pierre_de_Marivaux,kulturarvsdata.se,an,aragonés,kulturarvsdata.se,,,False,404.0,,0.059208,True,hard_404
an,Poggio Bracciolini,https://kulturarvsdata.se/LSH/agents/44215,https://an.wikipedia.org/wiki/Poggio_Bracciolini,kulturarvsdata.se,an,aragonés,kulturarvsdata.se,,,False,404.0,,0.060695,True,hard_404
an,Bernard le Bovier de Fontenelle,https://kulturarvsdata.se/LSH/agents/64192,https://an.wikipedia.org/wiki/Bernard_le_Bovier_de_Fontenelle,kulturarvsdata.se,an,aragonés,kulturarvsdata.se,,,False,404.0,,0.060325,True,hard_404
an,León III,https://kulturarvsdata.se/LSH/agents/54990,https://an.wikipedia.org/wiki/León_III,kulturarvsdata.se,an,aragonés,kulturarvsdata.se,,,False,404.0,,0.057362,True,hard_404
an,Claudio Ptolomeu,https://kulturarvsdata.se/LSH/agents/46760,https://an.wikipedia.org/wiki/Claudio_Ptolomeu,kulturarvsdata.se,an,aragonés,kulturarvsdata.se,,,False,404.0,,0.056931,True,hard_404
an,Jean-Baptiste Rousseau,https://kulturarvsdata.se/LSH/agents/49604,https://an.wikipedia.org/wiki/Jean-Baptiste_Rousseau,kulturarvsdata.se,an,aragonés,kulturarvsdata.se,,,False,404.0,,0.058584,True,hard_404
an,François Rabelais,https://kulturarvsdata.se/LSH/agents/60751,https://an.wikipedia.org/wiki/François_Rabelais,kulturarvsdata.se,an,aragonés,kulturarvsdata.se,,,False,404.0,,0.055802,True,hard_404
an,Hans Sloane,https://kulturarvsdata.se/LSH/agents/43370,https://an.wikipedia.org/wiki/Hans_Sloane,kulturarvsdata.se,an,aragonés,kulturarvsdata.se,,,False,404.0,,0.058446,True,hard_404
an,Alexis de Tocqueville,https://kulturarvsdata.se/LSH/agents/64927,https://an.wikipedia.org/wiki/Alexis_de_Tocqueville,kulturarvsdata.se,an,aragonés,kulturarvsdata.se,,,False,404.0,,0.057182,True,hard_404
