domain,checks,ok,timeouts,conn_errors,mean_latency,problem_ratio
agendakulturarv.raa.se,1,0,0,1,,1.0
app.raa.se,9332,9198,132,0,0.07899480586956521,0.01
bebyggelseregistret.raa.se,3256,3256,0,0,0.183744277027027,0.0
digisam.se,12,0,0,12,,1.0
dms.raa.se,1,0,0,1,,1.0
ettdigitalarekulturarv.digisam.se,1,0,0,1,,1.0
fmis.raa.se,4,2,0,0,0.057972249999999996,0.0
fou-anslag.raa.se,1,0,0,1,,1.0
hildebrand.raa.se,24,0,0,24,,1.0
k-blogg.se,32,32,0,0,0.32039565625,0.0
kmb.raa.se,118,70,0,0,0.08619,0.0
kms.raa.se,3,0,0,3,,1.0
kringla.nu,71,69,0,0,0.3044747042253521,0.0
kulturarvsdata.se,192018,189423,23,0,0.08657846630901846,0.0
kulturnav.org,89497,81112,5,4,0.40760663811907744,0.0
materialguiden.raa.se,4,0,0,4,,1.0
minnen.se,23,23,0,0,0.2123798695652174,0.0
old.raa.se,7,0,0,7,,1.0
pub.raa.se,156,155,0,0,0.34269665384615383,0.0
raa.se,14,9,0,0,0.1367387142857143,0.0
ritreg.raa.se,1,0,0,1,,1.0
samla.raa.se,638,85,0,10,0.13423895859872612,0.02
vitalis.raa.se,4,4,0,0,0.17889625,0.0
www.bebyggelseregistret.raa.se,3679,3679,0,0,0.1494910290839902,0.0
www.dialog.raa.se,1,0,0,1,,1.0
www.digisam.se,41,0,0,41,,1.0
www.fmis.raa.se,2164,1419,0,0,0.07466610258780038,0.0
www.k-blogg.se,87,87,0,0,0.3266725172413793,0.0
www.kms.raa.se,108,0,0,108,,1.0
www.kringla.nu,828,774,25,0,0.2991777733499377,0.03
www.kulturarvsdata.se,1,1,0,0,0.159986,0.0
www.kulturnav.org,1,0,0,1,,1.0
www.platsr.se,15,0,0,15,,1.0
www.raa.se,3106,2508,1,0,0.11533146698872786,0.0
www.raa.se:80,1,0,0,0,0.208573,0.0
