Språk,Wikipedia-sida,Extern länk,Wikipedia-länk,Domän
da,Gribshunden,http://www.kringla.nu/kringla/objekt?referens=raa/fmi/18000000067992,https://da.wikipedia.org/wiki/Gribshunden,www.kringla.nu
da,Guldhornene,http://www.kringla.nu/kringla/objekt?referens=MM/objekt/1390744,https://da.wikipedia.org/wiki/Guldhornene,www.kringla.nu
de,"Riksäpplet (Schiff, 1663)",http://www.kringla.nu/kringla/objekt?referens=raa/fmi/10000800740001,"https://de.wikipedia.org/wiki/Riksäpplet_(Schiff,_1663)",www.kringla.nu
de,Gamla bankhuset,http://www.kringla.nu/kringla/objekt?referens=raa/bbr/21400000585951&flik=1,https://de.wikipedia.org/wiki/Gamla_bankhuset,www.kringla.nu
de,Kirche von Akebäck,http://www.kringla.nu/kringla/objekt?referens=raa/fmi/10089200110001,https://de.wikipedia.org/wiki/Kirche_von_Akebäck,www.kringla.nu
de,Schnabelfibel,http://www.kringla.nu/kringla/objekt?text=n%C3%A4bbfibula&filter=thumbnailExists%3Dj&referens=shm/media/343718,https://de.wikipedia.org/wiki/Schnabelfibel,www.kringla.nu
de,Mönekragen,http://www.kringla.nu/kringla/objekt?referens=shm/object/108924,https://de.wikipedia.org/wiki/Mönekragen,www.kringla.nu
de,Wikipedia:Urheberrechtsfragen/Archiv/2021/01,http://www.kringla.nu/kringla/objekt?referens=shm/media/17245,https://de.wikipedia.org/wiki/Wikipedia:Urheberrechtsfragen/Archiv/2021/01,www.kringla.nu
de,Gribshunden,http://www.kringla.nu/kringla/objekt?referens=raa/fmi/18000000067992,https://de.wikipedia.org/wiki/Gribshunden,www.kringla.nu
de,Lule älv,https://www.kringla.nu/kringla/objekt?referens=raa/bbr/21300000014950&flik=0,https://de.wikipedia.org/wiki/Lule_älv,www.kringla.nu
de,Bildstein von Smiss (Stenkyrka),https://www.kringla.nu/kringla/objekt?text=grundare&filter=serviceOrganization%3Ds-gom&antal=48&sida=4&referens=S-GOM/object/GFA3428,https://de.wikipedia.org/wiki/Bildstein_von_Smiss_(Stenkyrka),www.kringla.nu
de,Dom zu Strängnäs,https://www.kringla.nu/kringla/objekt?referens=raa/bbr/21300000003399,https://de.wikipedia.org/wiki/Dom_zu_Strängnäs,www.kringla.nu
en,Swedish Open Cultural Heritage,http://www.kringla.nu/,https://en.wikipedia.org/wiki/Swedish_Open_Cultural_Heritage,www.kringla.nu
en,Arvid Jorm,http://www.kringla.nu/kringla/objekt;jsessionid=DF3AB8041C8C123F542E0BF75711A692?referens=raa/bbr/21400000669486&flik=0&teknisk=j/,https://en.wikipedia.org/wiki/Arvid_Jorm,www.kringla.nu
en,User talk:Drmies/Archive 65,http://www.kringla.nu/kringla/objekt?referens=raa/fmi/18000000050603,https://en.wikipedia.org/wiki/User_talk:Drmies/Archive_65,www.kringla.nu
en,Gamla bankhuset,http://www.kringla.nu/kringla/objekt;jsessionid=9DA2CF186646A09807E1405BB8F63937?referens=raa/bbr/21400000585951&flik=1,https://en.wikipedia.org/wiki/Gamla_bankhuset,www.kringla.nu
en,Hjo Church,http://www.kringla.nu/kringla/objekt;jsessionid=034BD5F3D8C1AC8382F315B7126B4238?referens=raa/bbr/21400000549621,https://en.wikipedia.org/wiki/Hjo_Church,www.kringla.nu
en,Template:Did you know nominations/Fittja gård,http://www.kringla.nu/kringla/objekt?text=Fittja+g%C3%A5rd&sida=2&referens=raa/kmb/16001000506624,https://en.wikipedia.org/wiki/Template:Did_you_know_nominations/Fittja_gård,www.kringla.nu
en,Template:Did you know nominations/Fittja gård,http://www.kringla.nu/kringla/objekt?text=Fittja+g%C3%A5rd&sida=3&referens=raa/kmb/16001000506504,https://en.wikipedia.org/wiki/Template:Did_you_know_nominations/Fittja_gård,www.kringla.nu
